Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	50.472	51.538	500	1800	20220504_180044	SVM	0.292	crestedargus
2	Spectrogram 1	1	83.376	86.88	500	1800	20220504_180044	SVM	0.293	crestedargus
3	Spectrogram 1	1	135.611	140.247	500	1800	20220504_180044	SVM	0.2925	crestedargus
4	Spectrogram 1	1	141.815	142.987	500	1800	20220504_180044	SVM	0.293	crestedargus
5	Spectrogram 1	1	146.303	147.776	500	1800	20220504_180044	SVM	0.294	crestedargus
6	Spectrogram 1	1	150.998	152.228	500	1800	20220504_180044	SVM	0.294	crestedargus
7	Spectrogram 1	1	157.416	160.329	500	1800	20220504_180044	SVM	0.292	crestedargus
8	Spectrogram 1	1	162.452	163.493	500	1800	20220504_180044	SVM	0.293	crestedargus
9	Spectrogram 1	1	190.291	191.514	500	1800	20220504_180044	SVM	0.293	crestedargus
10	Spectrogram 1	1	205.043	206.052	500	1800	20220504_180044	SVM	0.292	crestedargus
11	Spectrogram 1	1	213.461	214.894	500	1800	20220504_180044	SVM	0.293	crestedargus
12	Spectrogram 1	1	374.853	380.658	500	1800	20220504_180044	SVM	0.294	crestedargus
13	Spectrogram 1	1	388.495	389.968	500	1800	20220504_180044	SVM	0.293	crestedargus
14	Spectrogram 1	1	399.028	400.37	500	1800	20220504_180044	SVM	0.294	crestedargus
15	Spectrogram 1	1	404.728	405.798	500	1800	20220504_180044	SVM	0.294	crestedargus
16	Spectrogram 1	1	440.93	443.281	500	1800	20220504_180044	SVM	0.293	crestedargus
17	Spectrogram 1	1	469.327	474.185	500	1800	20220504_180044	SVM	0.294	crestedargus
18	Spectrogram 1	1	481.714	486.616	500	1800	20220504_180044	SVM	0.2925	crestedargus
19	Spectrogram 1	1	489.144	490.393	500	1800	20220504_180044	SVM	0.293	crestedargus
20	Spectrogram 1	1	495.048	496.114	500	1800	20220504_180044	SVM	0.294	crestedargus
21	Spectrogram 1	1	497.511	519.451	500	1800	20220504_180044	SVM	0.293	crestedargus
22	Spectrogram 1	1	600	606.738	500	1800	20220504_180044	SVM	0.2905	crestedargus
23	Spectrogram 1	1	610.681	614.121	500	1800	20220504_180044	SVM	0.2935	crestedargus
24	Spectrogram 1	1	616.486	625.825	500	1800	20220504_180044	SVM	0.292	crestedargus
25	Spectrogram 1	1	628.735	629.791	500	1800	20220504_180044	SVM	0.293	crestedargus
26	Spectrogram 1	1	636.057	662.47	500	1800	20220504_180044	SVM	0.2925	crestedargus
27	Spectrogram 1	1	664.632	680.506	500	1800	20220504_180044	SVM	0.292	crestedargus
28	Spectrogram 1	1	681.616	719.915	500	1800	20220504_180044	SVM	0.287	crestedargus
29	Spectrogram 1	1	722.277	723.387	500	1800	20220504_180044	SVM	0.277	crestedargus
30	Spectrogram 1	1	786.235	802.268	500	1800	20220504_180044	SVM	0.2885	crestedargus
31	Spectrogram 1	1	815.677	816.744	500	1800	20220504_180044	SVM	0.287	crestedargus
32	Spectrogram 1	1	915.224	916.418	500	1800	20220504_180044	SVM	0.194	crestedargus
33	Spectrogram 1	1	926.504	927.763	500	1800	20220504_180044	SVM	0.255	crestedargus
34	Spectrogram 1	1	941.55	942.559	500	1800	20220504_180044	SVM	0.217	crestedargus
35	Spectrogram 1	1	952.721	955.312	500	1800	20220504_180044	SVM	0.2345	crestedargus
36	Spectrogram 1	1	1075.597	1077.643	500	1800	20220504_180044	SVM	0.16	crestedargus
37	Spectrogram 1	1	1146.992	1148.371	500	1800	20220504_180044	SVM	0.271	crestedargus
38	Spectrogram 1	1	1149.452	1150.697	500	1800	20220504_180044	SVM	0.264	crestedargus
39	Spectrogram 1	1	1154.699	1155.809	500	1800	20220504_180044	SVM	0.3	crestedargus
40	Spectrogram 1	1	1368.758	1369.777	500	1800	20220504_180044	SVM	0.245	crestedargus
41	Spectrogram 1	1	1370.877	1371.976	500	1800	20220504_180044	SVM	0.286	crestedargus
42	Spectrogram 1	1	1444.177	1447.301	500	1800	20220504_180044	SVM	0.2885	crestedargus
43	Spectrogram 1	1	1448.843	1460.522	500	1800	20220504_180044	SVM	0.2935	crestedargus
44	Spectrogram 1	1	1500.004	1518.798	500	1800	20220504_180044	SVM	0.133	crestedargus
45	Spectrogram 1	1	1519.824	1526.439	500	1800	20220504_180044	SVM	0.088	crestedargus
46	Spectrogram 1	1	1530.687	1613.838	500	1800	20220504_180044	SVM	0.092	crestedargus
47	Spectrogram 1	1	1615.068	1623.402	500	1800	20220504_180044	SVM	0.065	crestedargus
48	Spectrogram 1	1	1624.523	1626.816	500	1800	20220504_180044	SVM	0.078	crestedargus
49	Spectrogram 1	1	1628.51	1665.177	500	1800	20220504_180044	SVM	0.068	crestedargus
50	Spectrogram 1	1	1666.621	1672.335	500	1800	20220504_180044	SVM	0.059	crestedargus
51	Spectrogram 1	1	1674.519	1675.59	500	1800	20220504_180044	SVM	0.225	crestedargus
52	Spectrogram 1	1	1678.786	1703.556	500	1800	20220504_180044	SVM	0.118	crestedargus
53	Spectrogram 1	1	1705.148	1718.344	500	1800	20220504_180044	SVM	0.183	crestedargus
54	Spectrogram 1	1	1719.745	1722.952	500	1800	20220504_180044	SVM	0.1415	crestedargus
55	Spectrogram 1	1	1725.561	1733.426	500	1800	20220504_180044	SVM	0.091	crestedargus
56	Spectrogram 1	1	1801.662	1808.2	500	1800	20220504_180044	SVM	0.168	crestedargus
57	Spectrogram 1	1	1809.324	1813.903	500	1800	20220504_180044	SVM	0.198	crestedargus
58	Spectrogram 1	1	1818.649	1819.763	500	1800	20220504_180044	SVM	0.234	crestedargus
59	Spectrogram 1	1	1822.839	1824.32	500	1800	20220504_180044	SVM	0.211	crestedargus
60	Spectrogram 1	1	1825.858	1831.006	500	1800	20220504_180044	SVM	0.213	crestedargus
61	Spectrogram 1	1	1832.955	1834.268	500	1800	20220504_180044	SVM	0.21	crestedargus
