Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	14.262	15.304	500	1800	20220504_190046	SVM	0.223	crestedargus
2	Spectrogram 1	1	29.102	30.157	500	1800	20220504_190046	SVM	0.213	crestedargus
3	Spectrogram 1	1	88.847	89.917	500	1800	20220504_190046	SVM	0.187	crestedargus
4	Spectrogram 1	1	100.497	101.731	500	1800	20220504_190046	SVM	0.173	crestedargus
5	Spectrogram 1	1	137.486	138.731	500	1800	20220504_190046	SVM	0.195	crestedargus
6	Spectrogram 1	1	155.812	157.031	500	1800	20220504_190046	SVM	0.174	crestedargus
7	Spectrogram 1	1	162.51	163.736	500	1800	20220504_190046	SVM	0.201	crestedargus
8	Spectrogram 1	1	224.81	226.243	500	1800	20220504_190046	SVM	0.141	crestedargus
9	Spectrogram 1	1	241.935	243.005	500	1800	20220504_190046	SVM	0.201	crestedargus
10	Spectrogram 1	1	272.56	273.583	500	1800	20220504_190046	SVM	0.206	crestedargus
11	Spectrogram 1	1	359.187	360.195	500	1800	20220504_190046	SVM	0.223	crestedargus
12	Spectrogram 1	1	376.137	377.186	500	1800	20220504_190046	SVM	0.235	crestedargus
13	Spectrogram 1	1	381.543	382.556	500	1800	20220504_190046	SVM	0.236	crestedargus
14	Spectrogram 1	1	405.595	406.643	500	1800	20220504_190046	SVM	0.222	crestedargus
15	Spectrogram 1	1	490.828	491.884	500	1800	20220504_190046	SVM	0.205	crestedargus
16	Spectrogram 1	1	524.283	525.847	500	1800	20220504_190046	SVM	0.194	crestedargus
17	Spectrogram 1	1	577.161	578.238	500	1800	20220504_190046	SVM	0.207	crestedargus
18	Spectrogram 1	1	614.048	615.525	500	1800	20220504_190046	SVM	0.163	crestedargus
19	Spectrogram 1	1	624.414	625.673	500	1800	20220504_190046	SVM	0.191	crestedargus
20	Spectrogram 1	1	686.405	687.563	500	1800	20220504_190046	SVM	0.224	crestedargus
21	Spectrogram 1	1	733.071	734.152	500	1800	20220504_190046	SVM	0.182	crestedargus
22	Spectrogram 1	1	814.324	815.674	500	1800	20220504_190046	SVM	0.173	crestedargus
23	Spectrogram 1	1	879.711	880.811	500	1800	20220504_190046	SVM	0.183	crestedargus
24	Spectrogram 1	1	903.095	904.122	500	1800	20220504_190046	SVM	0.21	crestedargus
25	Spectrogram 1	1	951.567	952.855	500	1800	20220504_190046	SVM	0.175	crestedargus
26	Spectrogram 1	1	964.622	965.91	500	1800	20220504_190046	SVM	0.187	crestedargus
27	Spectrogram 1	1	970.144	971.421	500	1800	20220504_190046	SVM	0.204	crestedargus
28	Spectrogram 1	1	985.676	986.859	500	1800	20220504_190046	SVM	0.183	crestedargus
29	Spectrogram 1	1	999.43	1000.446	500	1800	20220504_190046	SVM	0.238	crestedargus
30	Spectrogram 1	1	1015.674	1016.82	500	1800	20220504_190046	SVM	0.223	crestedargus
31	Spectrogram 1	1	1138.107	1139.413	500	1800	20220504_190046	SVM	0.197	crestedargus
32	Spectrogram 1	1	1205.733	1206.857	500	1800	20220504_190046	SVM	0.178	crestedargus
33	Spectrogram 1	1	1249.75	1251.001	500	1800	20220504_190046	SVM	0.181	crestedargus
34	Spectrogram 1	1	1263.13	1264.262	500	1800	20220504_190046	SVM	0.233	crestedargus
35	Spectrogram 1	1	1265.982	1267.564	500	1800	20220504_190046	SVM	0.142	crestedargus
36	Spectrogram 1	1	1345.552	1346.84	500	1800	20220504_190046	SVM	0.186	crestedargus
37	Spectrogram 1	1	1372.636	1373.688	500	1800	20220504_190046	SVM	0.189	crestedargus
38	Spectrogram 1	1	1465.525	1466.566	500	1800	20220504_190046	SVM	0.215	crestedargus
39	Spectrogram 1	1	1474.679	1475.727	500	1800	20220504_190046	SVM	0.211	crestedargus
40	Spectrogram 1	1	1497.584	1498.683	500	1800	20220504_190046	SVM	0.23	crestedargus
41	Spectrogram 1	1	1506.338	1507.594	500	1800	20220504_190046	SVM	0.196	crestedargus
42	Spectrogram 1	1	1609.789	1611.592	500	1800	20220504_190046	SVM	0.042	crestedargus
43	Spectrogram 1	1	1620.009	1621.326	500	1800	20220504_190046	SVM	0.2	crestedargus
44	Spectrogram 1	1	1686.061	1687.12	500	1800	20220504_190046	SVM	0.232	crestedargus
45	Spectrogram 1	1	1756.629	1757.641	500	1800	20220504_190046	SVM	0.199	crestedargus
46	Spectrogram 1	1	1776.722	1777.737	500	1800	20220504_190046	SVM	0.254	crestedargus
47	Spectrogram 1	1	1824.527	1825.546	500	1800	20220504_190046	SVM	0.21	crestedargus
48	Spectrogram 1	1	1873.997	1875.005	500	1800	20220504_190046	SVM	0.229	crestedargus
49	Spectrogram 1	1	1886.732	1887.871	500	1800	20220504_190046	SVM	0.216	crestedargus
50	Spectrogram 1	1	1903.635	1905.482	500	1800	20220504_190046	SVM	0.112	crestedargus
51	Spectrogram 1	1	1933.477	1934.718	500	1800	20220504_190046	SVM	0.195	crestedargus
52	Spectrogram 1	1	1960.344	1961.367	500	1800	20220504_190046	SVM	0.208	crestedargus
53	Spectrogram 1	1	2070.329	2071.609	500	1800	20220504_190046	SVM	0.216	crestedargus
54	Spectrogram 1	1	2125.633	2126.725	500	1800	20220504_190046	SVM	0.213	crestedargus
55	Spectrogram 1	1	2128.928	2130.023	500	1800	20220504_190046	SVM	0.223	crestedargus
56	Spectrogram 1	1	2131.986	2133.009	500	1800	20220504_190046	SVM	0.23	crestedargus
57	Spectrogram 1	1	2168.892	2170.002	500	1800	20220504_190046	SVM	0.211	crestedargus
58	Spectrogram 1	1	2187.294	2188.956	500	1800	20220504_190046	SVM	0.104	crestedargus
59	Spectrogram 1	1	2244.427	2245.672	500	1800	20220504_190046	SVM	0.218	crestedargus
60	Spectrogram 1	1	2248.215	2249.22	500	1800	20220504_190046	SVM	0.238	crestedargus
61	Spectrogram 1	1	2251.277	2252.297	500	1800	20220504_190046	SVM	0.215	crestedargus
62	Spectrogram 1	1	2295.871	2296.927	500	1800	20220504_190046	SVM	0.241	crestedargus
63	Spectrogram 1	1	2312.358	2313.406	500	1800	20220504_190046	SVM	0.241	crestedargus
64	Spectrogram 1	1	2350.374	2351.941	500	1800	20220504_190046	SVM	0.179	crestedargus
65	Spectrogram 1	1	2364.364	2365.55	500	1800	20220504_190046	SVM	0.213	crestedargus
66	Spectrogram 1	1	2393.716	2394.743	500	1800	20220504_190046	SVM	0.21	crestedargus
67	Spectrogram 1	1	2514.981	2516.222	500	1800	20220504_190046	SVM	0.231	crestedargus
68	Spectrogram 1	1	2532.614	2534.148	500	1800	20220504_190046	SVM	0.164	crestedargus
69	Spectrogram 1	1	2542.9	2544.311	500	1800	20220504_190046	SVM	0.194	crestedargus
70	Spectrogram 1	1	2585.901	2587.555	500	1800	20220504_190046	SVM	0.173	crestedargus
71	Spectrogram 1	1	2615.757	2616.838	500	1800	20220504_190046	SVM	0.231	crestedargus
